Feature Vector,Label
0.0,0
0.0,0
0.0,2
0.0,0
0.0,0
0.0,1
0.0,6
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,7
0.0,7
0.0,1
0.0,0
0.0,0
0.0,6
0.0,0
0.0,2
0.0,4
0.0,7
0.0,4
0.0,5
0.0,6
0.0,2
0.0,5
0.0,6
0.0,6
0.0,3
0.0,6
0.0,5
0.0,0
0.0,3
0.0,8
0.0,5
0.0,9
0.0,2
0.0,8
0.0,9
0.0,1
0.0,7
0.0,3
0.0,1
0.0,4
0.0,7
0.0,3
0.0,8
0.0,1
0.0,3
0.0,4
0.0,7
0.0,9
0.0,3
0.0,6
0.0,5
0.0,8
0.0,6
0.0,8
0.0,2
0.0,1
0.0,7
0.0,8
0.0,0
0.0,5
0.0,6
0.0,3
0.0,6
0.0,4
0.0,9
3.4098566,7
0.0,9
0.0,1
0.0,5
0.0,3
0.0,6
0.0,6
0.0,8
0.0,3
0.0,1
0.0,4
0.0,3
0.0,9
0.0,8
0.0,5
0.0,2
0.0,4
0.0,6
0.0,4
0.0,7
0.0,1
0.0,5
0.0,2
0.0,1
0.0,5
0.0,8
0.0,5
0.0,8
0.0,3
0.0,1
0.0,2
0.0,4
0.0,5
0.0,1
10.458356,2
0.0,8
0.0,3
0.0,8
0.0,3
0.0,5
0.0,4
0.0,2
0.0,9
0.0,5
0.0,0
0.0,8
0.0,6
0.0,0
0.0,8
0.0,5
0.0,2
0.0,4
0.0,5
0.0,8
0.0,3
0.0,2
0.0,0
0.0,8
0.0,6
0.0,9
0.0,2
0.0,8
0.0,4
0.0,5
0.0,8
0.0,0
0.0,6
0.0,2
0.0,4
0.0,9
0.0,4
0.0,5
0.0,5
0.0,2
0.0,7
0.0,8
0.0,4
0.0,9
0.0,3
0.0,2
0.0,4
0.0,7
0.0,5
0.0,9
0.0,3
0.0,1
0.0,8
0.0,1
0.0,3
0.0,6
0.0,9
0.0,1
0.0,2
0.0,8
0.0,2
0.0,7
0.0,9
0.0,9
0.0,5
0.0,9
4.2814684,8
0.0,3
0.0,9
0.0,8
0.0,5
0.0,1
0.0,4
0.0,2
0.0,7
0.0,0
0.0,5
